video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,31.41,9.49,13.46,8.46,78.08
p5-s10,30.32,8.51,7.4,14.42,78.18
p7-s8,58.01,9.6,17.9,30.5,51.59
p7-s16,48.86,5.94,16.67,26.24,57.09
p9-s3-1,64.2,8.9,36.7,18.6,44.7
p9-s9,39.88,13.68,14.45,11.74,73.8
p11-s4,29.95,8.42,10.48,11.06,78.47
p11-s11,35.46,10.27,4.34,20.85,74.81
p12-s3,51.33,30.2,9.37,11.76,78.87
p12-s6,63.27,32.74,13.26,17.26,69.47
p17-s2,42.23,6.72,13.03,22.47,64.49
p17-s6,25.83,5.83,17.32,2.68,80.0
p18-s15,33.51,4.98,8.51,20.01,71.48
p18-s17,33.01,4.84,6.14,22.04,71.83
