video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,50.19,1.02,44.24,4.93,50.83
p5-s10,28.88,2.03,22.9,3.95,73.15
p7-s8,61.73,1.2,51.53,8.99,39.47
p7-s16,33.56,1.21,28.77,3.59,67.65
p9-s3-1,78.0,1.93,70.4,5.67,23.93
p9-s9,67.49,0.97,45.12,21.4,33.47
p11-s4,36.75,1.81,31.76,3.18,65.06
p11-s11,43.81,1.36,32.15,10.3,57.56
p12-s3,88.55,1.2,79.89,7.45,12.66
p12-s6,88.99,0.94,84.03,4.02,11.96
p17-s2,18.19,3.11,11.45,3.62,84.92
p17-s6,22.84,1.06,19.83,1.95,78.22
p18-s15,27.82,1.17,23.87,2.78,73.34
p18-s17,30.29,0.88,16.85,12.56,70.59
