video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,51.62,0.96,45.95,4.72,49.34
p5-s10,30.57,1.91,24.94,3.71,71.35
p7-s8,64.42,1.03,55.0,8.39,36.61
p7-s16,41.4,0.91,37.53,2.96,59.51
p9-s3-1,82.99,1.27,76.8,4.92,18.29
p9-s9,68.32,0.92,46.78,20.61,32.61
p11-s4,41.95,1.54,37.62,2.79,59.59
p11-s11,44.67,1.3,33.3,10.07,56.63
p12-s3,88.37,1.04,80.79,6.54,12.67
p12-s6,88.25,0.72,83.98,3.55,12.47
p17-s2,26.03,2.57,20.34,3.12,76.54
p17-s6,29.75,0.87,27.11,1.77,71.11
p18-s15,30.95,1.05,27.39,2.51,70.1
p18-s17,30.41,0.88,17.03,12.5,70.47
