video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,47.79,1.02,44.24,2.54,53.22
p5-s10,36.73,2.03,22.9,11.8,65.3
p7-s8,62.38,1.2,51.53,9.65,38.82
p7-s16,47.75,1.21,28.77,17.78,53.45
p9-s3-1,83.83,1.93,70.4,11.51,18.09
p9-s9,67.49,0.97,45.12,21.4,33.47
p11-s4,52.66,1.81,31.76,19.09,49.14
p11-s11,64.37,1.36,32.15,30.85,37.0
p12-s3,88.02,1.2,79.89,6.92,13.18
p12-s6,88.99,0.94,84.03,4.02,11.96
p17-s2,45.6,3.11,11.45,31.03,57.51
p17-s6,28.32,1.06,19.83,7.44,72.73
p18-s15,29.91,1.17,23.87,4.88,71.25
p18-s17,30.07,0.88,16.85,12.34,70.82
