video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,49.36,0.96,45.95,2.45,51.6
p5-s10,38.45,1.91,24.94,11.6,63.46
p7-s8,65.15,1.03,55.0,9.11,35.88
p7-s16,55.22,0.91,37.53,16.78,45.69
p9-s3-1,86.97,1.27,76.8,8.9,14.3
p9-s9,68.32,0.92,46.78,20.61,32.61
p11-s4,55.87,1.54,37.62,16.71,45.67
p11-s11,64.57,1.3,33.3,29.97,36.73
p12-s3,87.92,1.04,80.79,6.09,13.11
p12-s6,88.25,0.72,83.98,3.55,12.47
p17-s2,50.34,2.57,20.34,27.43,52.23
p17-s6,34.84,0.87,27.11,6.86,66.02
p18-s15,32.83,1.05,27.39,4.39,68.22
p18-s17,30.19,0.88,17.03,12.28,70.69
