video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,29.87,10.09,11.02,8.76,80.22
p5-s10,20.55,9.05,4.6,6.9,88.5
p7-s8,55.48,11.13,12.0,32.35,55.64
p7-s16,24.59,7.89,5.22,11.48,83.3
p9-s3-1,64.09,13.48,26.61,24.0,49.4
p9-s9,54.06,14.34,12.52,27.21,60.28
p11-s4,21.24,9.84,3.22,8.17,88.61
p11-s11,31.53,10.74,2.1,18.68,79.22
p12-s3,87.23,35.01,2.43,49.79,47.78
p12-s6,83.04,42.94,1.64,38.46,59.9
p17-s2,17.89,8.14,4.68,5.08,90.25
p17-s6,33.56,7.1,9.19,17.26,73.55
p18-s15,13.12,5.54,3.82,3.76,92.42
p18-s17,19.53,4.86,5.93,8.74,85.33
