video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,29.87,10.09,11.02,8.76,80.22
p5-s10,18.6,9.05,4.6,4.95,90.45
p7-s8,55.48,11.13,12.0,32.35,55.64
p7-s16,23.48,7.89,5.22,10.38,84.41
p9-s3-1,64.88,13.48,26.61,24.79,48.61
p9-s9,34.76,14.34,12.52,7.91,79.57
p11-s4,25.18,9.84,3.22,12.11,84.67
p11-s11,25.13,10.74,2.1,12.28,85.61
p12-s3,51.55,35.01,2.43,14.11,83.47
p12-s6,66.39,42.94,1.64,21.81,76.55
p17-s2,37.06,8.14,4.68,24.25,71.07
p17-s6,21.86,7.1,9.19,5.56,85.25
p18-s15,16.67,5.54,3.82,7.32,88.86
p18-s17,19.53,4.86,5.93,8.74,85.33
