video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,31.54,9.49,13.46,8.59,77.95
p5-s10,20.68,8.51,7.4,4.78,87.82
p7-s8,56.45,9.6,17.9,28.95,53.15
p7-s16,30.75,5.94,16.67,8.13,75.2
p9-s3-1,66.4,8.9,36.7,20.81,42.5
p9-s9,36.01,13.68,14.45,7.87,77.67
p11-s4,29.43,8.42,10.48,10.53,78.99
p11-s11,27.03,10.27,4.34,12.43,83.23
p12-s3,51.88,30.2,9.37,12.31,78.32
p12-s6,62.76,32.74,13.26,16.76,69.98
p17-s2,40.93,6.72,13.03,21.18,65.79
p17-s6,28.02,5.83,17.32,4.88,77.8
p18-s15,20.12,4.98,8.51,6.63,84.86
p18-s17,19.67,4.84,6.14,8.7,85.17
