video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,47.44,1.02,44.24,2.18,53.58
p5-s10,28.11,2.03,22.9,3.18,73.92
p7-s8,60.24,1.2,51.53,7.51,40.95
p7-s16,33.41,1.21,28.77,3.43,67.8
p9-s3-1,83.47,1.93,70.4,11.14,18.46
p9-s9,49.15,0.97,45.12,3.06,51.81
p11-s4,37.67,1.81,31.76,4.1,64.14
p11-s11,43.81,1.36,32.15,10.3,57.56
p12-s3,86.33,1.2,79.89,5.23,14.88
p12-s6,88.43,0.94,84.03,3.45,12.52
p17-s2,18.49,3.11,11.45,3.93,84.62
p17-s6,29.23,1.06,19.83,8.35,71.82
p18-s15,29.57,1.17,23.87,4.53,71.59
p18-s17,25.19,0.88,16.85,7.46,75.69
