video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,49.11,0.96,45.95,2.21,51.85
p5-s10,29.89,1.91,24.94,3.04,72.02
p7-s8,62.92,1.03,55.0,6.89,38.11
p7-s16,41.19,0.91,37.53,2.76,59.72
p9-s3-1,86.41,1.27,76.8,8.35,14.86
p9-s9,50.63,0.92,46.78,2.92,50.3
p11-s4,42.79,1.54,37.62,3.63,58.75
p11-s11,44.67,1.3,33.3,10.07,56.63
p12-s3,86.45,1.04,80.79,4.62,14.58
p12-s6,87.58,0.72,83.98,2.88,13.14
p17-s2,26.22,2.57,20.34,3.3,76.35
p17-s6,35.17,0.87,27.11,7.19,65.7
p18-s15,32.57,1.05,27.39,4.13,68.48
p18-s17,25.34,0.88,17.03,7.42,75.54
