video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,47.44,1.02,44.24,2.18,53.58
p5-s10,31.3,2.03,22.9,6.37,70.73
p7-s8,62.78,1.2,51.53,10.05,38.42
p7-s16,41.79,1.21,28.77,11.82,59.41
p9-s3-1,81.56,1.93,70.4,9.23,20.37
p9-s9,66.24,0.97,45.12,20.15,34.73
p11-s4,45.31,1.81,31.76,11.74,56.5
p11-s11,48.38,1.36,32.15,14.87,52.99
p12-s3,86.33,1.2,79.89,5.23,14.88
p12-s6,91.19,0.94,84.03,6.22,9.75
p17-s2,39.22,3.11,11.45,24.66,63.89
p17-s6,27.36,1.06,19.83,6.48,73.7
p18-s15,29.57,1.17,23.87,4.53,71.59
p18-s17,25.19,0.88,16.85,7.46,75.69
