video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,49.11,0.96,45.95,2.21,51.85
p5-s10,33.19,1.91,24.94,6.34,68.72
p7-s8,65.51,1.03,55.0,9.48,35.52
p7-s16,50.27,0.91,37.53,11.84,50.63
p9-s3-1,85.25,1.27,76.8,7.19,16.02
p9-s9,67.16,0.92,46.78,19.45,33.77
p11-s4,49.82,1.54,37.62,10.66,51.72
p11-s11,49.21,1.3,33.3,14.6,52.1
p12-s3,86.45,1.04,80.79,4.62,14.58
p12-s6,89.89,0.72,83.98,5.19,10.83
p17-s2,44.6,2.57,20.34,21.68,57.97
p17-s6,33.42,0.87,27.11,5.45,67.44
p18-s15,32.57,1.05,27.39,4.13,68.48
p18-s17,25.34,0.88,17.03,7.42,75.54
