video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,31.54,8.33,18.08,5.13,76.8
p5-s10,24.75,7.6,12.48,4.66,82.86
p7-s8,60.16,8.9,26.85,24.41,48.74
p7-s16,31.12,5.28,19.66,6.17,74.16
p9-s3-1,65.17,8.46,40.31,16.39,43.3
p9-s9,56.12,9.91,18.58,27.62,53.79
p11-s4,35.2,9.82,16.53,8.86,74.62
p11-s11,55.2,9.82,10.03,35.35,54.62
p12-s3,77.36,25.68,13.58,38.11,48.32
p12-s6,52.76,19.96,17.13,15.67,67.2
p17-s2,45.18,6.99,17.73,20.47,61.81
p17-s6,56.81,5.3,22.75,28.77,48.48
p18-s15,31.18,5.46,23.12,2.6,74.28
p18-s17,18.75,4.64,13.2,0.92,85.88
