video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,32.74,8.86,15.79,8.08,76.13
p5-s10,28.93,8.09,9.89,10.95,79.16
p7-s8,60.69,10.31,21.81,28.57,49.62
p7-s16,40.72,7.01,8.69,25.02,66.29
p9-s3-1,64.15,12.81,30.38,20.95,48.67
p9-s9,33.18,10.38,16.97,5.82,77.21
p11-s4,26.61,11.48,9.97,5.15,84.88
p11-s11,24.16,10.28,7.71,6.17,86.11
p12-s3,59.28,29.77,7.42,22.1,70.49
p12-s6,53.04,26.18,6.51,20.34,73.14
p17-s2,40.75,8.46,9.37,22.92,67.71
p17-s6,24.54,6.46,15.32,2.77,81.91
p18-s15,32.54,6.07,19.47,7.0,73.53
p18-s17,18.5,4.66,12.92,0.93,86.16
