video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,41.59,6.41,27.95,7.23,64.82
p5-s10,33.32,4.21,24.36,4.75,70.89
p7-s8,63.71,4.48,41.02,18.21,40.77
p7-s16,36.86,2.86,29.53,4.48,65.99
p9-s3-1,82.27,7.6,65.94,8.73,25.34
p9-s9,68.72,11.26,31.02,26.43,42.55
p11-s4,47.9,7.35,24.34,16.21,59.45
p11-s11,36.09,4.31,19.83,11.95,68.22
p12-s3,81.93,1.96,72.63,7.34,20.03
p12-s6,85.8,0.28,81.97,3.56,14.48
p17-s2,35.73,12.48,20.05,3.2,76.75
p17-s6,31.97,5.7,24.11,2.15,73.73
p18-s15,34.64,3.44,28.87,2.32,68.81
p18-s17,43.73,6.86,14.96,21.91,63.13
