video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,39.95,6.81,25.64,7.5,66.86
p5-s10,35.16,4.48,22.42,8.27,69.31
p7-s8,63.29,5.19,36.66,21.44,41.9
p7-s16,28.84,3.8,19.36,5.69,74.95
p9-s3-1,86.21,11.52,59.47,15.22,25.31
p9-s9,52.66,11.8,29.28,11.58,59.14
p11-s4,31.77,8.6,18.05,5.12,76.82
p11-s11,24.9,4.51,17.83,2.56,79.61
p12-s3,79.29,2.27,71.13,5.88,22.99
p12-s6,87.45,0.37,82.38,4.7,12.92
p17-s2,29.91,15.12,11.78,3.02,85.2
p17-s6,24.81,6.95,15.97,1.89,82.14
p18-s15,34.22,3.83,25.69,4.7,69.61
p18-s17,44.17,6.89,14.69,22.59,62.72
