video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,41.59,6.41,27.95,7.23,64.82
p5-s10,36.57,4.21,24.36,8.0,67.64
p7-s8,65.33,4.48,41.02,19.83,39.15
p7-s16,37.38,2.86,29.53,4.99,65.48
p9-s3-1,86.21,7.6,65.94,12.67,21.39
p9-s9,53.34,11.26,31.02,11.05,57.93
p11-s4,36.08,7.35,24.34,4.39,71.27
p11-s11,26.58,4.31,19.83,2.45,77.72
p12-s3,79.67,1.96,72.63,5.07,22.29
p12-s6,86.3,0.28,81.97,4.06,13.97
p17-s2,35.21,12.48,20.05,2.68,77.27
p17-s6,31.54,5.7,24.11,1.72,74.16
p18-s15,36.54,3.44,28.87,4.23,66.9
p18-s17,44.31,6.86,14.96,22.49,62.55
