video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,33.28,8.86,15.79,8.63,75.58
p5-s10,22.95,8.09,9.89,4.97,85.14
p7-s8,53.72,10.31,21.81,21.6,56.59
p7-s16,24.0,7.01,8.69,8.3,83.01
p9-s3-1,64.77,12.81,30.38,21.58,48.04
p9-s9,51.8,10.38,16.97,24.44,58.58
p11-s4,27.25,11.48,9.97,5.79,84.24
p11-s11,34.43,10.28,7.71,16.44,75.85
p12-s3,83.47,29.77,7.42,46.29,46.3
p12-s6,69.26,26.18,6.51,36.57,56.92
p17-s2,36.47,8.46,9.37,18.64,71.99
p17-s6,34.5,6.46,15.32,12.73,71.96
p18-s15,29.07,6.07,19.47,3.53,77.0
p18-s17,31.95,4.66,12.92,14.38,72.71
