video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,39.8,6.41,27.95,5.44,66.61
p5-s10,32.92,4.21,24.36,4.35,71.29
p7-s8,57.27,4.48,41.02,11.77,47.21
p7-s16,36.49,2.86,29.53,4.1,66.37
p9-s3-1,86.64,7.6,65.94,13.1,20.96
p9-s9,64.15,11.26,31.02,21.86,47.12
p11-s4,35.59,7.35,24.34,3.9,71.76
p11-s11,36.09,4.31,19.83,11.95,68.22
p12-s3,87.19,1.96,72.63,12.59,14.78
p12-s6,88.05,0.28,81.97,5.8,12.23
p17-s2,48.65,12.48,20.05,16.12,63.83
p17-s6,38.9,5.7,24.11,9.09,66.8
p18-s15,37.02,3.44,28.87,4.71,66.43
p18-s17,31.97,6.86,14.96,10.15,74.89
