video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,39.8,6.41,27.95,5.44,66.61
p5-s10,45.92,4.21,24.36,17.35,58.29
p7-s8,60.16,4.48,41.02,14.66,44.32
p7-s16,46.77,2.86,29.53,14.38,56.09
p9-s3-1,80.86,7.6,65.94,7.32,26.75
p9-s9,51.57,11.26,31.02,9.28,59.69
p11-s4,41.67,7.35,24.34,9.98,65.68
p11-s11,37.82,4.31,19.83,13.69,66.48
p12-s3,80.32,1.96,72.63,5.73,21.64
p12-s6,86.38,0.28,81.97,4.14,13.9
p17-s2,41.1,12.48,20.05,8.57,71.38
p17-s6,34.43,5.7,24.11,4.61,71.28
p18-s15,37.02,3.44,28.87,4.71,66.43
p18-s17,29.49,6.86,14.96,7.67,77.37
