video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,42.7,21.56,11.98,9.16,78.86
p5-s10,23.34,10.63,7.6,5.11,87.29
p7-s8,57.58,10.5,14.88,32.2,52.92
p7-s16,30.6,6.84,16.7,7.05,76.25
p9-s3-1,69.26,13.33,37.63,18.31,44.07
p9-s9,67.17,18.88,17.99,30.31,51.71
p11-s4,30.45,13.6,10.37,6.48,83.15
p11-s11,39.1,10.62,4.5,23.99,71.51
p12-s3,89.34,38.75,9.19,41.39,49.42
p12-s6,80.96,38.28,13.23,29.45,57.32
p17-s2,38.35,9.67,11.49,17.19,71.32
p17-s6,25.85,7.11,15.54,3.19,81.26
p18-s15,14.93,4.36,7.48,3.08,89.44
p18-s17,19.82,9.54,5.44,4.84,89.72
