video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,55.87,22.93,9.46,23.47,67.06
p5-s10,21.54,11.31,4.79,5.43,89.78
p7-s8,57.05,12.17,8.86,36.02,55.11
p7-s16,21.86,9.09,4.93,7.85,87.22
p9-s3-1,68.66,20.19,27.95,20.52,51.53
p9-s9,50.24,19.78,16.3,14.16,69.54
p11-s4,26.43,15.9,3.02,7.5,89.47
p11-s11,37.69,11.11,2.27,24.31,73.42
p12-s3,73.22,44.93,2.24,26.05,71.71
p12-s6,75.88,50.21,1.58,24.09,74.33
p17-s2,17.77,11.71,3.1,2.96,93.94
p17-s6,19.18,8.67,6.8,3.72,89.48
p18-s15,22.4,4.85,2.72,14.82,82.45
p18-s17,19.68,9.59,5.23,4.86,89.91
