video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,56.7,6.67,41.59,8.44,49.97
p5-s10,32.15,12.14,15.57,4.44,79.99
p7-s8,65.8,8.04,39.9,17.86,42.24
p7-s16,43.45,6.09,32.76,4.6,62.64
p9-s3-1,92.98,4.98,81.56,6.44,12.0
p9-s9,79.02,4.92,52.68,21.43,25.89
p11-s4,67.9,38.2,23.43,6.27,70.29
p11-s11,71.96,35.89,20.4,15.67,63.93
p12-s3,93.3,0.34,89.88,3.08,7.04
p12-s6,82.19,1.75,75.19,5.24,19.56
p17-s2,31.74,13.81,15.52,2.41,82.07
p17-s6,31.59,6.97,19.49,5.14,75.38
p18-s15,23.17,5.61,14.73,2.83,82.44
p18-s17,34.21,8.31,10.23,15.68,74.09
