video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,55.45,7.09,39.54,8.82,51.64
p5-s10,30.56,12.92,12.94,4.7,82.36
p7-s8,63.19,9.31,34.42,19.45,46.13
p7-s16,34.82,8.08,22.74,4.0,73.26
p9-s3-1,95.1,7.54,77.28,10.28,12.44
p9-s9,66.02,5.15,51.6,9.27,39.13
p11-s4,67.68,44.67,15.74,7.27,76.99
p11-s11,63.98,37.56,18.5,7.93,73.57
p12-s3,93.4,0.4,89.4,3.6,7.0
p12-s6,83.66,2.29,74.77,6.6,18.63
p17-s2,25.17,16.73,5.87,2.57,91.56
p17-s6,19.77,8.5,9.78,1.48,88.74
p18-s15,33.91,6.23,10.16,17.51,72.32
p18-s17,54.12,8.34,10.01,35.76,54.22
