video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,56.7,6.67,41.59,8.44,49.97
p5-s10,32.15,12.14,15.57,4.44,79.99
p7-s8,65.43,8.04,39.9,17.5,42.61
p7-s16,42.1,6.09,32.76,3.26,63.99
p9-s3-1,94.3,4.98,81.56,7.76,10.68
p9-s9,66.56,4.92,52.68,8.97,38.35
p11-s4,67.9,38.2,23.43,6.27,70.29
p11-s11,64.56,35.89,20.4,8.27,71.34
p12-s3,93.46,0.34,89.88,3.24,6.88
p12-s6,82.19,1.75,75.19,5.24,19.56
p17-s2,31.77,13.81,15.52,2.43,82.05
p17-s6,27.82,6.97,19.49,1.36,79.15
p18-s15,37.56,5.61,14.73,17.22,68.05
p18-s17,54.34,8.31,10.23,35.8,53.97
