video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,86.13,22.93,9.46,53.74,36.8
p5-s10,21.08,11.31,4.79,4.97,90.24
p7-s8,57.37,12.17,8.86,36.33,54.8
p7-s16,24.58,9.09,4.93,10.56,84.51
p9-s3-1,70.92,20.19,27.95,22.78,49.27
p9-s9,75.96,19.78,16.3,39.89,43.82
p11-s4,33.4,15.9,3.02,14.48,82.5
p11-s11,32.78,11.11,2.27,19.41,78.32
p12-s3,65.61,44.93,2.24,18.45,79.32
p12-s6,90.19,50.21,1.58,38.4,60.02
p17-s2,21.97,11.71,3.1,7.16,89.73
p17-s6,20.65,8.67,6.8,5.18,88.02
p18-s15,11.25,4.85,2.72,3.68,93.6
p18-s17,24.67,9.59,5.23,9.85,84.92
