video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,51.26,29.66,11.02,10.58,78.4
p5-s10,60.77,41.52,4.6,14.65,80.75
p7-s8,56.97,11.13,12.0,33.84,54.15
p7-s16,51.68,28.2,5.22,18.26,76.53
p9-s3-1,85.0,19.53,26.61,38.86,34.53
p9-s9,55.63,14.34,12.52,28.78,58.7
p11-s4,45.85,30.53,3.22,12.1,84.68
p11-s11,33.64,22.8,2.1,8.74,89.16
p12-s3,61.08,35.01,2.43,23.65,73.93
p12-s6,100.96,65.98,1.64,33.34,65.02
p17-s2,47.67,28.38,4.68,14.61,80.71
p17-s6,31.65,16.13,9.19,6.33,84.48
p18-s15,22.11,13.82,3.82,4.47,91.71
p18-s17,22.17,11.31,5.93,4.93,89.14
