video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,50.53,27.89,12.17,10.47,77.36
p5-s10,59.31,39.03,6.31,13.97,79.72
p7-s8,57.77,9.6,17.9,30.26,51.84
p7-s16,50.0,21.24,13.35,15.4,71.25
p9-s3-1,80.59,12.9,34.98,32.71,32.31
p9-s9,57.0,13.68,14.45,28.86,56.69
p11-s4,45.97,26.1,8.61,11.26,80.14
p11-s11,34.26,21.79,3.42,9.05,87.53
p12-s3,60.48,30.2,9.37,20.91,69.72
p12-s6,88.28,50.3,12.03,25.94,62.03
p17-s2,47.95,23.44,9.86,14.64,75.5
p17-s6,35.64,13.23,16.57,5.84,77.59
p18-s15,23.86,12.43,7.37,4.06,88.58
p18-s17,22.1,11.26,5.94,4.9,89.16
