video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,51.26,29.66,11.02,10.58,78.4
p5-s10,54.22,36.33,4.6,13.29,82.11
p7-s8,58.05,11.13,12.0,34.91,53.08
p7-s16,65.81,43.63,5.22,16.96,77.82
p9-s3-1,64.37,13.48,26.61,24.28,49.12
p9-s9,47.68,26.41,12.52,8.75,78.73
p11-s4,38.24,24.11,3.22,10.9,85.87
p11-s11,67.58,44.88,2.1,20.61,77.29
p12-s3,95.35,78.41,2.43,14.51,83.06
p12-s6,128.57,99.76,1.64,27.17,71.19
p17-s2,45.41,8.14,4.68,32.6,62.73
p17-s6,31.65,16.13,9.19,6.33,84.48
p18-s15,67.72,39.46,3.82,24.44,71.74
p18-s17,59.49,41.8,5.93,11.76,82.31
