video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,52.32,0.96,45.95,5.42,48.64
p5-s10,49.41,14.89,24.08,10.43,65.49
p7-s8,68.47,4.52,54.36,9.59,36.04
p7-s16,47.43,6.28,35.15,6.01,58.85
p9-s3-1,84.75,2.75,76.17,5.84,18.0
p9-s9,69.74,5.14,46.72,17.87,35.4
p11-s4,51.86,7.83,37.3,6.72,55.97
p11-s11,43.24,2.96,32.71,7.57,59.73
p12-s3,88.82,1.04,80.79,6.99,12.21
p12-s6,92.16,2.49,83.4,6.27,10.33
p17-s2,44.14,15.17,18.37,10.6,71.03
p17-s6,41.32,8.48,25.21,7.63,67.17
p18-s15,33.84,3.48,26.6,3.76,69.64
p18-s17,26.67,0.88,17.03,8.76,74.21
