video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,54.09,4.72,44.24,5.13,50.63
p5-s10,52.54,15.8,22.9,13.85,63.26
p7-s8,63.5,1.2,51.53,10.77,37.69
p7-s16,60.84,15.29,28.77,16.78,54.46
p9-s3-1,82.01,1.93,70.4,9.68,19.92
p9-s9,68.88,5.39,45.12,18.37,36.5
p11-s4,61.63,11.07,31.76,18.8,49.44
p11-s11,73.39,12.53,32.15,28.71,39.14
p12-s3,88.97,1.85,79.89,7.22,12.88
p12-s6,94.46,3.27,84.03,7.16,8.81
p17-s2,23.68,3.11,11.45,9.11,79.43
p17-s6,31.4,5.6,19.83,5.97,74.2
p18-s15,42.48,9.83,23.87,8.78,67.35
p18-s17,40.28,15.28,16.85,8.14,75.01
