video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,54.98,4.44,45.52,5.02,49.46
p5-s10,52.76,14.85,24.15,13.76,62.09
p7-s8,66.34,1.03,55.0,10.3,34.7
p7-s16,63.76,11.52,34.12,18.12,47.76
p9-s3-1,85.9,1.27,76.8,7.83,15.37
p9-s9,69.74,5.14,46.72,17.87,35.4
p11-s4,63.61,9.47,37.06,17.08,45.86
p11-s11,72.54,11.97,32.62,27.95,39.43
p12-s3,88.68,1.6,80.74,6.35,12.91
p12-s6,92.16,2.49,83.4,6.27,10.33
p17-s2,31.07,2.57,20.34,8.15,71.5
p17-s6,36.43,4.6,25.54,6.3,68.16
p18-s15,43.3,8.85,25.67,8.78,65.55
p18-s17,40.15,15.21,16.83,8.11,75.06
