video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,63.6,36.49,11.85,15.25,72.9
p5-s10,25.15,8.51,7.4,9.25,83.35
p7-s8,58.2,9.6,17.9,30.69,51.4
p7-s16,63.42,28.68,10.75,23.98,65.27
p9-s3-1,88.95,28.53,28.31,32.1,39.59
p9-s9,56.14,13.68,14.45,28.0,57.54
p11-s4,77.92,40.7,8.58,28.64,62.78
p11-s11,45.71,32.2,2.9,10.61,86.5
p12-s3,109.46,69.48,6.58,33.39,60.02
p12-s6,107.66,70.98,5.77,30.91,63.32
p17-s2,72.79,40.49,8.41,23.89,67.7
p17-s6,49.13,17.1,14.16,17.86,67.97
p18-s15,32.41,18.66,7.14,6.61,86.25
p18-s17,58.07,38.67,5.9,13.5,80.6
