video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,63.6,36.49,11.85,15.25,72.9
p5-s10,54.33,38.34,6.13,9.86,84.0
p7-s8,58.2,9.6,17.9,30.69,51.4
p7-s16,73.92,44.6,9.37,19.95,70.68
p9-s3-1,65.69,8.9,36.7,20.09,43.21
p9-s9,57.56,33.67,13.1,10.79,76.11
p11-s4,48.46,28.4,7.56,12.5,79.95
p11-s11,88.94,58.37,3.01,27.55,69.44
p12-s3,115.6,89.93,6.22,19.46,74.33
p12-s6,110.97,74.97,9.18,26.82,64.0
p17-s2,34.63,6.72,13.03,14.88,72.09
p17-s6,41.39,19.5,13.81,8.08,78.11
p18-s15,66.91,41.89,5.95,19.07,74.99
p18-s17,58.07,38.67,5.9,13.5,80.6
