video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,57.17,6.38,44.24,6.55,49.21
p5-s10,69.33,20.07,22.9,26.36,50.74
p7-s8,67.08,5.02,51.53,10.53,37.94
p7-s16,46.05,9.13,28.77,8.15,63.08
p9-s3-1,87.65,5.41,70.4,11.85,17.76
p9-s9,62.21,9.07,45.12,8.02,46.86
p11-s4,63.82,11.81,31.76,20.24,48.0
p11-s11,45.92,5.55,32.15,8.22,59.63
p12-s3,88.35,1.88,79.89,6.57,13.53
p12-s6,88.38,1.07,84.03,3.28,12.69
p17-s2,60.59,30.92,11.45,18.21,70.33
p17-s6,36.53,3.78,19.83,12.92,67.25
p18-s15,54.99,16.73,23.87,14.39,61.74
p18-s17,45.04,14.1,16.85,14.09,69.06
