video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,57.17,6.38,44.24,6.55,49.21
p5-s10,54.21,16.31,22.9,15.0,62.1
p7-s8,62.87,1.2,51.53,10.14,38.32
p7-s16,54.2,12.53,28.77,12.9,58.33
p9-s3-1,80.94,1.93,70.4,8.61,20.99
p9-s9,62.86,4.05,45.12,13.69,41.19
p11-s4,64.09,11.49,31.76,20.84,47.4
p11-s11,59.95,6.44,32.15,21.36,46.49
p12-s3,88.35,1.88,79.89,6.57,13.53
p12-s6,92.48,1.87,84.03,6.59,9.39
p17-s2,42.09,3.11,11.45,27.52,61.02
p17-s6,41.64,13.94,19.83,7.87,72.3
p18-s15,54.99,16.73,23.87,14.39,61.74
p18-s17,45.04,14.1,16.85,14.09,69.06
