video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,57.93,6.0,45.56,6.36,48.08
p5-s10,54.38,15.33,23.83,15.22,60.95
p7-s8,65.65,1.03,55.0,9.61,35.38
p7-s16,56.76,9.44,34.39,12.93,52.68
p9-s3-1,85.03,1.27,76.8,6.96,16.24
p9-s9,63.62,3.86,46.64,13.12,40.24
p11-s4,66.46,9.82,36.69,19.95,43.36
p11-s11,60.45,6.16,33.22,21.08,45.71
p12-s3,88.05,1.62,80.7,5.73,13.57
p12-s6,90.62,1.42,83.83,5.36,10.8
p17-s2,46.61,2.57,20.34,23.7,55.96
p17-s6,44.66,11.43,25.31,7.91,66.77
p18-s15,54.02,15.06,25.57,13.4,61.03
p18-s17,45.1,14.04,17.03,14.03,68.94
