video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,30.07,8.86,15.79,5.41,78.8
p5-s10,61.27,36.7,9.89,14.68,75.43
p7-s8,60.31,10.31,21.81,28.18,50.0
p7-s16,47.84,25.59,8.69,13.57,77.74
p9-s3-1,83.98,32.83,30.38,20.77,48.85
p9-s9,57.3,10.38,16.97,29.95,53.08
p11-s4,32.96,11.48,9.97,11.51,78.52
p11-s11,48.84,10.28,7.71,30.85,61.43
p12-s3,100.71,63.94,7.42,29.36,63.22
p12-s6,97.16,63.65,6.51,27.0,66.49
p17-s2,51.69,8.46,9.37,33.86,56.77
p17-s6,36.98,6.46,15.32,15.21,69.48
p18-s15,35.46,11.79,19.47,4.21,76.32
p18-s17,35.3,15.99,12.92,6.39,80.69
