video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,52.81,17.58,25.64,9.59,64.77
p5-s10,54.02,18.39,22.42,13.21,64.37
p7-s8,64.74,5.19,36.66,22.89,40.45
p7-s16,46.25,18.39,19.36,8.5,72.14
p9-s3-1,88.94,11.52,59.47,17.95,22.58
p9-s9,59.26,18.8,29.28,11.18,59.54
p11-s4,40.14,16.32,18.05,5.77,76.18
p11-s11,40.22,15.89,17.83,6.51,75.67
p12-s3,83.66,5.52,71.13,7.0,21.87
p12-s6,92.97,3.29,82.38,7.29,10.33
p17-s2,29.89,15.12,11.78,2.99,85.23
p17-s6,31.22,12.89,15.97,2.36,81.67
p18-s15,51.35,14.72,25.69,10.94,63.37
p18-s17,66.77,22.31,14.69,29.77,55.54
