video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,53.24,16.53,26.99,9.72,63.29
p5-s10,54.21,17.29,23.83,13.09,63.08
p7-s8,66.44,4.48,41.02,20.94,38.04
p7-s16,48.69,13.85,25.76,9.08,65.16
p9-s3-1,87.82,7.6,65.94,14.28,19.78
p9-s9,59.61,17.94,30.78,10.88,58.34
p11-s4,42.28,13.96,23.12,5.2,71.68
p11-s11,40.87,15.18,19.45,6.24,74.31
p12-s3,82.95,4.76,72.1,6.09,21.81
p12-s6,90.07,2.51,80.78,6.78,12.44
p17-s2,35.32,12.48,20.05,2.79,77.16
p17-s6,36.02,10.57,22.82,2.62,74.55
p18-s15,51.22,13.25,27.46,10.52,62.02
p18-s17,66.71,22.21,14.83,29.66,55.5
