video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,62.22,31.89,16.6,13.73,69.67
p5-s10,74.12,34.55,11.74,27.83,60.44
p7-s8,90.74,34.08,25.03,31.63,43.34
p7-s16,59.14,24.47,15.99,18.67,65.34
p9-s3-1,88.46,27.29,34.77,26.4,38.82
p9-s9,54.27,9.91,18.58,25.77,55.64
p11-s4,49.14,23.34,13.86,11.94,74.2
p11-s11,47.99,29.8,8.85,9.34,81.81
p12-s3,100.64,59.78,10.0,30.85,59.14
p12-s6,90.18,52.94,11.53,25.71,62.76
p17-s2,49.73,18.64,14.15,16.94,68.91
p17-s6,48.02,13.73,20.98,13.3,65.71
p18-s15,43.06,14.48,21.93,6.65,71.42
p18-s17,30.54,9.85,13.2,7.5,79.31
