video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,58.86,22.08,25.64,11.14,63.22
p5-s10,71.26,23.58,22.42,25.27,52.32
p7-s8,67.05,12.49,36.66,17.89,45.45
p7-s16,44.98,16.48,19.36,9.14,71.5
p9-s3-1,100.54,20.08,59.47,20.98,19.55
p9-s9,65.57,11.8,29.28,24.49,46.23
p11-s4,77.39,28.94,18.05,30.4,51.55
p11-s11,46.84,19.22,17.83,9.79,72.38
p12-s3,87.21,4.18,71.13,11.89,16.98
p12-s6,88.58,0.56,82.38,5.65,11.97
p17-s2,54.47,27.92,11.78,14.76,73.45
p17-s6,45.06,16.35,15.97,12.74,71.29
p18-s15,61.61,20.76,25.69,15.16,59.15
p18-s17,40.4,17.89,14.69,7.83,77.49
