video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,58.94,20.76,27.37,10.81,61.82
p5-s10,70.18,22.16,23.99,24.03,51.98
p7-s8,67.92,10.78,40.25,16.89,42.86
p7-s16,48.07,12.42,26.27,9.38,64.35
p9-s3-1,96.43,13.26,64.77,18.4,16.83
p9-s9,65.94,11.26,31.02,23.66,45.32
p11-s4,75.45,24.75,23.17,27.53,49.29
p11-s11,47.64,18.36,18.94,10.34,70.72
p12-s3,86.65,3.61,72.57,10.48,16.96
p12-s6,87.4,0.42,81.95,5.02,13.03
p17-s2,54.49,23.06,16.48,14.95,68.57
p17-s6,48.27,13.41,21.8,13.06,65.14
p18-s15,60.27,18.68,26.94,14.65,58.41
p18-s17,40.55,17.8,14.96,7.79,77.25
