video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,43.29,21.56,11.98,9.74,78.28
p5-s10,43.61,29.1,6.34,8.16,85.5
p7-s8,77.8,32.55,12.17,33.08,54.74
p7-s16,65.18,38.52,11.41,15.25,73.34
p9-s3-1,83.52,27.47,32.85,23.2,43.95
p9-s9,67.14,18.88,17.99,30.27,51.74
p11-s4,38.91,23.56,8.81,6.54,84.65
p11-s11,29.93,10.62,4.5,14.81,80.69
p12-s3,110.3,78.51,6.94,24.85,68.21
p12-s6,96.77,57.77,12.33,26.67,61.0
p17-s2,36.33,9.67,11.49,15.17,73.34
p17-s6,36.36,15.46,14.47,6.44,79.1
p18-s15,24.39,12.31,6.24,5.84,87.92
p18-s17,37.4,25.99,5.21,6.2,88.59
