video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,77.15,43.87,9.46,23.81,66.72
p5-s10,44.22,30.96,4.79,8.47,86.74
p7-s8,58.72,12.17,8.86,37.69,53.45
p7-s16,59.07,42.14,4.93,12.0,83.06
p9-s3-1,69.02,20.19,27.95,20.88,51.17
p9-s9,62.38,35.81,16.3,10.27,73.43
p11-s4,37.65,27.55,3.02,7.08,89.9
p11-s11,67.48,45.05,2.27,20.17,77.57
p12-s3,114.29,81.95,2.24,30.1,67.67
p12-s6,135.05,109.67,1.58,23.8,74.62
p17-s2,17.74,11.71,3.1,2.93,93.97
p17-s6,32.57,18.85,6.8,6.92,86.28
p18-s15,57.0,35.46,2.72,18.82,78.46
p18-s17,37.58,26.11,5.23,6.23,88.54
