video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,75.24,41.25,10.67,23.31,66.02
p5-s10,43.61,29.1,6.34,8.16,85.5
p7-s8,59.53,10.5,14.88,34.15,50.97
p7-s16,54.79,31.74,11.83,11.22,76.95
p9-s3-1,67.02,13.33,37.63,16.06,46.31
p9-s9,61.42,34.18,17.26,9.97,72.77
p11-s4,38.91,23.56,8.81,6.54,84.65
p11-s11,66.53,43.06,3.8,19.67,76.53
p12-s3,105.15,70.69,7.22,27.24,65.54
p12-s6,111.71,83.61,6.82,21.28,71.9
p17-s2,23.69,9.67,11.49,2.54,85.98
p17-s6,36.36,15.46,14.47,6.44,79.1
p18-s15,55.16,31.9,4.73,18.52,76.74
p18-s17,37.4,25.99,5.21,6.2,88.59
