video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,63.62,15.16,39.54,8.91,51.54
p5-s10,46.99,26.64,12.94,7.42,79.65
p7-s8,64.47,9.31,34.42,20.74,44.84
p7-s16,71.35,30.9,22.74,17.72,59.54
p9-s3-1,95.77,11.17,77.28,7.32,15.4
p9-s9,77.08,6.32,51.6,19.16,29.23
p11-s4,80.86,58.55,15.74,6.57,77.68
p11-s11,78.85,48.29,18.5,12.07,69.43
p12-s3,94.83,1.33,89.4,4.1,6.5
p12-s6,90.66,5.33,74.77,10.56,14.67
p17-s2,41.56,30.65,5.87,5.03,89.1
p17-s6,45.66,24.0,9.78,11.88,78.34
p18-s15,24.84,10.34,10.16,4.34,85.5
p18-s17,30.57,8.34,10.01,12.21,77.78
