video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,106.82,53.96,9.46,43.39,47.15
p5-s10,55.27,37.81,4.79,12.67,82.54
p7-s8,58.59,12.17,8.86,37.56,53.58
p7-s16,68.68,31.75,4.93,31.99,63.07
p9-s3-1,72.2,20.19,27.95,24.06,47.99
p9-s9,93.24,44.44,16.3,32.51,51.19
p11-s4,34.17,15.9,3.02,15.24,81.74
p11-s11,41.86,27.28,2.27,12.31,85.42
p12-s3,67.86,44.93,2.24,20.7,77.06
p12-s6,131.08,93.4,1.58,36.1,62.32
p17-s2,54.56,40.04,3.1,11.41,85.48
p17-s6,40.35,26.79,6.8,6.76,86.44
p18-s15,36.07,22.79,2.72,10.56,86.72
p18-s17,41.81,28.52,5.23,8.06,86.71
