video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,107.76,58.68,9.46,39.61,50.93
p5-s10,55.27,37.81,4.79,12.67,82.54
p7-s8,58.59,12.17,8.86,37.56,53.58
p7-s16,76.5,44.5,4.93,27.07,68.0
p9-s3-1,65.94,20.19,27.95,17.8,54.25
p9-s9,70.8,42.92,16.3,11.58,72.12
p11-s4,52.91,39.46,3.02,10.42,86.56
p11-s11,72.83,59.34,2.27,11.22,86.51
p12-s3,136.64,113.86,2.24,20.54,77.22
p12-s6,145.53,114.83,1.58,29.12,69.3
p17-s2,17.17,11.71,3.1,2.36,94.54
p17-s6,40.35,26.79,6.8,6.76,86.44
p18-s15,56.35,33.98,2.72,19.64,77.63
p18-s17,59.14,39.82,5.23,14.08,80.68
