video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,68.94,17.93,39.54,11.48,48.98
p5-s10,59.21,33.23,12.94,13.05,74.02
p7-s8,65.75,9.31,34.42,22.01,43.56
p7-s16,78.09,26.6,22.74,28.75,48.51
p9-s3-1,100.59,10.23,77.28,13.08,9.64
p9-s9,78.2,13.04,51.6,13.55,34.84
p11-s4,88.62,62.17,15.74,10.7,73.55
p11-s11,59.33,37.56,18.5,3.27,78.23
p12-s3,93.13,0.87,89.4,2.85,7.75
p12-s6,85.59,3.56,74.77,7.26,17.97
p17-s2,51.82,38.77,5.87,7.17,86.95
p17-s6,72.04,34.87,9.78,27.39,62.83
p18-s15,34.46,17.24,10.16,7.06,82.78
p18-s17,37.72,19.36,10.01,8.35,81.64
