video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,29.94,5.44,17.01,7.49,75.5
p5-s10,20.82,5.15,11.01,4.66,84.33
p7-s8,54.55,6.24,23.62,24.69,51.69
p7-s16,31.27,4.83,18.82,7.61,73.56
p9-s3-1,64.58,6.51,43.37,14.69,41.94
p9-s9,54.3,8.48,19.8,26.01,54.19
p11-s4,24.4,5.83,13.02,5.55,81.43
p11-s11,20.69,6.97,5.9,7.83,86.27
p12-s3,52.25,22.43,12.23,17.6,70.18
p12-s6,57.86,27.22,15.4,15.24,69.36
p17-s2,23.38,4.74,15.02,3.63,81.36
p17-s6,27.54,4.22,19.86,3.46,76.68
p18-s15,18.3,3.18,12.13,2.99,84.88
p18-s17,16.21,3.45,8.98,3.78,87.24
