video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,72.68,0.34,64.81,7.53,27.66
p5-s10,43.47,1.16,39.18,3.13,57.69
p7-s8,69.21,0.37,64.96,3.88,31.16
p7-s16,48.59,0.64,45.58,2.38,52.04
p9-s3-1,91.01,0.82,84.48,5.71,9.81
p9-s9,73.57,0.26,61.05,12.26,26.68
p11-s4,56.58,0.6,53.16,2.83,44.02
p11-s11,66.31,0.34,60.15,5.83,34.02
p12-s3,94.9,0.22,91.87,2.81,5.32
p12-s6,93.29,0.05,91.1,2.14,6.76
p17-s2,27.17,1.79,22.9,2.48,74.62
p17-s6,33.06,0.63,30.93,1.5,67.58
p18-s15,54.81,0.58,43.43,10.8,45.77
p18-s17,40.13,0.58,27.59,11.96,60.45
