video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,30.25,5.44,17.01,7.8,75.19
p5-s10,20.44,5.15,11.01,4.28,84.71
p7-s8,50.22,6.24,23.62,20.36,56.02
p7-s16,30.51,4.83,18.82,6.85,74.32
p9-s3-1,65.44,6.51,43.37,15.56,41.07
p9-s9,53.92,8.48,19.8,25.64,54.56
p11-s4,24.49,5.83,13.02,5.64,81.33
p11-s11,29.83,6.97,5.9,16.96,77.14
p12-s3,75.61,22.43,12.23,40.96,46.81
p12-s6,70.78,27.22,15.4,28.16,56.44
p17-s2,23.65,4.74,15.02,3.89,81.09
p17-s6,36.4,4.22,19.86,12.31,67.82
p18-s15,19.8,3.18,12.13,4.49,83.38
p18-s17,20.17,3.45,8.98,7.74,83.28
