video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,66.97,0.34,64.81,1.82,33.37
p5-s10,42.6,1.16,39.18,2.26,58.56
p7-s8,68.9,0.37,64.96,3.56,31.48
p7-s16,48.45,0.64,45.58,2.24,52.18
p9-s3-1,90.8,0.82,84.48,5.5,10.02
p9-s9,63.11,0.26,61.05,1.8,37.15
p11-s4,55.96,0.6,53.16,2.21,44.64
p11-s11,66.31,0.34,60.15,5.83,34.02
p12-s3,93.49,0.22,91.87,1.4,6.73
p12-s6,92.35,0.05,91.1,1.2,7.7
p17-s2,27.48,1.79,22.9,2.79,74.31
p17-s6,37.12,0.63,30.93,5.56,63.51
p18-s15,47.98,0.58,43.43,3.97,52.6
p18-s17,39.17,0.58,27.59,11.0,61.41
