video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,67.89,0.32,65.85,1.72,32.43
p5-s10,43.91,1.09,40.65,2.17,57.18
p7-s8,71.44,0.32,67.78,3.33,28.88
p7-s16,54.75,0.48,52.48,1.79,45.73
p9-s3-1,92.47,0.54,87.91,4.01,8.07
p9-s9,64.21,0.25,62.25,1.72,36.04
p11-s4,59.95,0.51,57.49,1.94,40.56
p11-s11,66.57,0.32,60.53,5.71,33.75
p12-s3,93.73,0.19,92.27,1.27,6.46
p12-s6,91.92,0.04,90.9,0.97,8.12
p17-s2,34.66,1.47,30.72,2.47,66.82
p17-s6,42.71,0.52,37.35,4.84,57.81
p18-s15,50.16,0.53,46.04,3.59,50.37
p18-s17,39.25,0.57,27.73,10.95,61.32
