video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,35.23,3.86,24.83,6.55,68.63
p5-s10,26.33,4.15,17.85,4.32,77.83
p7-s8,60.19,5.46,33.57,21.16,45.27
p7-s16,24.94,3.82,14.43,6.69,78.88
p9-s3-1,65.3,6.69,41.33,17.28,41.38
p9-s9,53.01,5.67,27.05,20.29,52.66
p11-s4,27.83,5.31,17.76,4.77,77.47
p11-s11,26.16,4.69,16.48,4.99,78.52
p12-s3,70.91,13.64,15.17,42.1,42.74
p12-s6,43.62,12.69,13.7,17.22,69.07
p17-s2,40.49,4.94,16.03,19.52,64.45
p17-s6,27.9,3.6,21.14,3.16,75.7
p18-s15,35.77,3.67,29.33,2.77,67.9
p18-s17,33.07,2.58,20.24,10.24,69.51
