video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,36.85,3.63,26.99,6.23,66.78
p5-s10,28.37,3.9,20.4,4.07,75.53
p7-s8,61.58,4.71,37.64,19.23,43.13
p7-s16,32.97,2.87,24.73,5.37,69.9
p9-s3-1,67.17,4.41,49.21,13.55,37.24
p9-s9,53.38,5.41,28.41,19.56,52.03
p11-s4,32.44,4.54,23.75,4.15,72.1
p11-s11,28.24,4.48,18.49,5.27,76.24
p12-s3,68.93,11.77,20.66,36.5,42.84
p12-s6,46.25,9.67,23.36,13.21,63.42
p17-s2,45.35,4.08,23.97,17.3,58.73
p17-s6,33.63,2.96,27.97,2.71,69.33
p18-s15,38.28,3.3,32.49,2.49,65.02
p18-s17,33.15,2.57,20.38,10.2,69.42
