video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,35.23,3.86,24.83,6.55,68.63
p5-s10,38.48,4.15,17.85,16.48,65.67
p7-s8,60.19,5.46,33.57,21.16,45.27
p7-s16,44.2,3.82,14.43,25.95,59.62
p9-s3-1,72.11,6.69,41.33,24.09,34.58
p9-s9,59.08,5.67,27.05,26.37,46.58
p11-s4,32.69,5.31,17.76,9.63,72.61
p11-s11,23.68,4.69,16.48,2.51,81.01
p12-s3,46.52,13.64,15.17,17.71,67.12
p12-s6,43.62,12.69,13.7,17.22,69.07
p17-s2,40.49,4.94,16.03,19.52,64.45
p17-s6,33.68,3.6,21.14,8.93,69.93
p18-s15,58.03,3.67,29.33,25.03,45.64
p18-s17,52.7,2.58,20.24,29.87,49.88
