video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,50.61,2.95,41.81,5.84,52.34
p5-s10,47.64,2.1,37.87,7.66,54.47
p7-s8,70.35,2.1,54.5,13.75,31.74
p7-s16,46.87,1.47,40.94,4.45,54.61
p9-s3-1,86.04,3.2,76.83,6.01,17.16
p9-s9,70.16,4.6,44.85,20.71,34.44
p11-s4,47.87,3.63,38.71,5.53,55.76
p11-s11,37.36,1.54,30.77,5.05,64.18
p12-s3,90.29,0.48,86.38,3.43,10.19
p12-s6,93.98,0.15,91.16,2.67,6.17
p17-s2,57.77,6.18,27.82,23.78,48.41
p17-s6,44.05,2.43,33.08,8.54,58.38
p18-s15,51.5,1.68,40.78,9.04,50.18
p18-s17,41.24,2.33,25.59,13.32,61.09
