video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,34.9,3.63,26.99,4.28,68.73
p5-s10,28.53,3.9,20.4,4.22,75.38
p7-s8,60.92,4.71,37.64,18.57,43.79
p7-s16,33.09,2.87,24.73,5.49,69.79
p9-s3-1,80.51,4.41,49.21,26.89,23.9
p9-s9,54.96,5.41,28.41,21.14,50.45
p11-s4,33.03,4.54,23.75,4.74,71.5
p11-s11,35.96,4.48,18.49,13.0,68.52
p12-s3,68.93,11.77,20.66,36.5,42.84
p12-s6,46.31,9.67,23.36,13.27,63.36
p17-s2,41.77,4.08,23.97,13.72,62.31
p17-s6,39.18,2.96,27.97,8.26,63.77
p18-s15,38.37,3.3,32.49,2.58,64.93
p18-s17,33.15,2.57,20.38,10.2,69.42
