video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,37.04,3.63,26.99,6.42,66.59
p5-s10,33.64,3.9,20.4,9.33,70.27
p7-s8,61.21,4.71,37.64,18.86,43.5
p7-s16,58.71,2.87,24.73,31.11,44.16
p9-s3-1,73.36,4.41,49.21,19.73,31.06
p9-s9,41.08,5.41,28.41,7.26,64.33
p11-s4,34.86,4.54,23.75,6.57,69.68
p11-s11,34.0,4.48,18.49,11.04,70.47
p12-s3,48.37,11.77,20.66,15.94,63.4
p12-s6,46.31,9.67,23.36,13.27,63.36
p17-s2,33.56,4.08,23.97,5.51,70.53
p17-s6,35.07,2.96,27.97,4.15,67.88
p18-s15,39.73,3.3,32.49,3.94,63.57
p18-s17,30.93,2.57,20.38,7.98,71.63
