video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,49.08,2.95,41.81,4.32,53.87
p5-s10,42.94,2.1,37.87,2.96,59.16
p7-s8,63.27,2.1,54.5,6.67,38.83
p7-s16,45.01,1.47,40.94,2.6,56.46
p9-s3-1,88.2,3.2,76.83,8.17,15.0
p9-s9,55.49,4.6,44.85,6.04,49.11
p11-s4,45.53,3.63,38.71,3.18,58.11
p11-s11,41.55,1.54,30.77,9.24,59.99
p12-s3,90.52,0.48,86.38,3.67,9.95
p12-s6,93.42,0.15,91.16,2.11,6.72
p17-s2,37.06,6.18,27.82,3.07,69.12
p17-s6,41.63,2.43,33.08,6.12,60.8
p18-s15,45.35,1.68,40.78,2.9,56.32
p18-s17,38.34,2.33,25.59,10.42,63.99
