video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,49.08,2.95,41.81,4.32,53.87
p5-s10,49.2,2.1,37.87,9.23,52.9
p7-s8,71.35,2.1,54.5,14.75,30.75
p7-s16,47.26,1.47,40.94,4.85,54.21
p9-s3-1,85.74,3.2,76.83,5.71,17.46
p9-s9,51.78,4.6,44.85,2.33,52.81
p11-s4,51.59,3.63,38.71,9.25,52.04
p11-s11,42.16,1.54,30.77,9.86,59.37
p12-s3,90.49,0.48,86.38,3.64,9.98
p12-s6,93.06,0.15,91.16,1.75,7.09
p17-s2,56.84,6.18,27.82,22.84,49.34
p17-s6,38.67,2.43,33.08,3.16,63.76
p18-s15,48.34,1.68,40.78,5.89,53.33
p18-s17,37.07,2.33,25.59,9.15,65.26
