video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,65.76,2.29,58.35,5.11,36.53
p5-s10,36.91,6.19,27.07,3.65,69.28
p7-s8,70.26,3.4,55.03,11.82,33.15
p7-s16,53.06,3.19,46.12,3.75,50.13
p9-s3-1,95.54,2.04,89.92,3.58,6.49
p9-s9,79.9,0.98,69.76,9.17,21.08
p11-s4,54.02,10.92,39.48,3.61,56.9
p11-s11,61.58,15.54,38.42,7.63,53.96
p12-s3,96.75,0.13,95.09,1.53,3.38
p12-s6,88.67,0.15,86.36,2.16,11.48
p17-s2,31.7,7.26,22.32,2.12,75.56
p17-s6,35.42,2.71,29.13,3.58,67.29
p18-s15,29.8,2.69,24.7,2.4,72.9
p18-s17,33.85,3.09,19.63,11.12,69.24
